 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.13634300000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10675                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -51.8950000000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.15000000000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10592                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.2759630000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.78759900000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10583                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -49.7980470000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.81495600000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10568                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -49.5352080000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.71920700000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10630                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -51.4110780000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.453808000000000                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10511                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -51.6509450000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.40793900000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10576                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.5929310000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.68002400000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10571                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.4833330000000                                            YES
